index,YEAR,EMPLOYER_POSTAL_CODE,EMPLOYER_POSTAL_CODE_OCCURRENCE,EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE,MAJOR_EMPLOYER_POSTAL_CODE_OCCURRENCE_LOG
692,2020,19720,36,16.5630250076729,1,1.0
693,2020,19801,52,18.160033436348,4,7.02059991327962
694,2020,19809,111,21.4532297878666,1,1.0
695,2020,20001,47,17.7209785793572,2,4.01029995663981
696,2020,20007,42,17.232492903979,1,1.0
697,2020,20036,106,21.2530586526477,3,5.77121254719662
698,2020,20064,5,7.98970004336019,1,1.0
699,2020,20109,12,11.7918124604763,1,1.0
700,2020,20147,229,24.5983548233989,1,1.0
701,2020,20152,165,23.1748394421391,71,19.5125834871908
702,2020,20164,146,22.6435285578444,4,7.02059991327962
703,2020,20166,507,28.0500795933334,4,7.02059991327962
704,2020,20170,1058,31.2448566769917,6,8.78151250383644
705,2020,20171,2120,34.2633586092875,16,13.0411998265592
706,2020,20190,364,26.6110138364906,2,4.01029995663981
707,2020,20191,547,28.3798732633343,49,17.9019608002851
708,2020,20708,2,4.01029995663981,1,1.0
709,2020,20742,88,20.4448267215017,3,5.77121254719662
710,2020,20770,42,17.232492903979,1,1.0
711,2020,20781,4,7.02059991327962,1,1.0
712,2020,20850,5012,38.0001106232211,4,7.02059991327962
713,2020,20852,208,24.1806333496276,2,4.01029995663981
714,2020,20855,95,20.7772360528885,55,18.4036268949424
715,2020,20872,3,5.77121254719662,3,5.77121254719662
716,2020,20876,294,25.6834733041216,24,14.8021124171161
717,2020,20877,84,20.2427928606188,3,5.77121254719662
718,2020,20878,35,16.4406804435028,2,4.01029995663981
719,2020,20912,2,4.01029995663981,1,1.0
720,2020,21040,2,4.01029995663981,1,1.0
721,2020,21045,83,20.1907809237607,2,4.01029995663981
722,2020,21046,50,17.9897000433602,1,1.0
723,2020,21061,18,13.5527250510331,1,1.0
724,2020,21076,387,26.8771096501891,22,14.4242268082221
725,2020,21090,5,7.98970004336019,1,1.0
726,2020,21117,26,15.1497334797082,2,4.01029995663981
727,2020,21220,77,19.8649072517248,18,13.5527250510331
728,2020,21230,9,10.5424250943932,1,1.0
729,2020,21250,24,14.8021124171161,3,5.77121254719662
730,2020,21286,6,8.78151250383644,1,1.0
731,2020,21666,1,1.0,1,1.0
732,2020,21704,27,15.3136376415899,4,7.02059991327962
733,2020,21784,2,4.01029995663981,1,1.0
734,2020,22031,234,24.6921585741014,5,7.98970004336019
735,2020,22033,54,18.3239375982297,1,1.0
736,2020,22039,5,7.98970004336019,2,4.01029995663981
737,2020,22102,924,30.6567197122011,11,11.4139268515823
738,2020,22182,419,27.222140229663,8,10.0308998699194
739,2020,22192,5,7.98970004336019,2,4.01029995663981
740,2020,22202,14,12.4612803567824,1,1.0
741,2020,22203,246,24.9093510710338,9,10.5424250943932
742,2020,22209,103,21.1283722470517,5,7.98970004336019
743,2020,22314,29,15.6239799789896,1,1.0
744,2020,22315,2,4.01029995663981,1,1.0
745,2020,22902,23,14.6172783601759,10,11.0
746,2020,22903,80,20.0308998699194,1,1.0
747,2020,22904,8,10.0308998699194,1,1.0
748,2020,23060,493,27.9284691927723,9,10.5424250943932
749,2020,23219,109,21.3742649794062,16,13.0411998265592
750,2020,23230,12,11.7918124604763,1,1.0
751,2020,23231,3,5.77121254719662,1,1.0
752,2020,23502,19,13.7875360095283,1,1.0
753,2020,23603,3,5.77121254719662,2,4.01029995663981
754,2020,23606,27,15.3136376415899,8,10.0308998699194
755,2020,23836,1,1.0,1,1.0
756,2020,24012,12,11.7918124604763,6,8.78151250383644
757,2020,24018,28,15.4715803134222,11,11.4139268515823
758,2020,24060,10,11.0,1,1.0
759,2020,24061,84,20.2427928606188,3,5.77121254719662
760,2020,24501,6,8.78151250383644,2,4.01029995663981
761,2020,24630,1,1.0,1,1.0
762,2020,25070,2,4.01029995663981,2,4.01029995663981
763,2020,25703,1,1.0,1,1.0
764,2020,26241,6,8.78151250383644,5,7.98970004336019
765,2020,27101,30,15.7712125471966,1,1.0
766,2020,27302,2,4.01029995663981,1,1.0
767,2020,27377,3,5.77121254719662,2,4.01029995663981
768,2020,27409,208,24.1806333496276,61,18.8532983501077
769,2020,27410,23,14.6172783601759,1,1.0
770,2020,27411,7,9.45098040014257,1,1.0
771,2020,27511,288,25.5939248775923,18,13.5527250510331
772,2020,27560,331,26.1982799377572,5,7.98970004336019
773,2020,27577,1,1.0,1,1.0
774,2020,27587,1,1.0,1,1.0
775,2020,27603,62,18.9239168949825,5,7.98970004336019
776,2020,27606,61,18.8532983501077,7,9.45098040014257
777,2020,27607,82,20.1381385238372,20,14.0102999566398
778,2020,27616,5,7.98970004336019,1,1.0
779,2020,27617,15,12.7609125905568,2,4.01029995663981
780,2020,27695,67,19.2607480270083,4,7.02059991327962
781,2020,27701,22,14.4242268082221,2,4.01029995663981
782,2020,27703,463,27.6558099101795,6,8.78151250383644
783,2020,27708,55,18.4036268949424,1,1.0
784,2020,27709,1014,31.0603795499732,2,4.01029995663981
785,2020,27713,40,17.0205999132796,1,1.0
786,2020,28007,2,4.01029995663981,1,1.0
787,2020,28036,15,12.7609125905568,1,1.0
788,2020,28105,3,5.77121254719662,1,1.0
789,2020,28117,74,19.6923171973098,1,1.0
790,2020,28139,5,7.98970004336019,1,1.0
791,2020,28144,2,4.01029995663981,1,1.0
792,2020,28202,709,29.5064623518307,26,15.1497334797082
793,2020,28217,161,23.0682587603185,5,7.98970004336019
794,2020,28269,48,17.8124123737559,4,7.02059991327962
795,2020,28273,41,17.1278385671974,5,7.98970004336019
796,2020,28602,30,15.7712125471966,11,11.4139268515823
797,2020,28658,2,4.01029995663981,1,1.0
798,2020,28801,4,7.02059991327962,1,1.0
799,2020,28803,1,1.0,1,1.0
800,2020,29170,6,8.78151250383644,3,5.77121254719662
801,2020,29208,10,11.0,1,1.0
802,2020,29209,2,4.01029995663981,1,1.0
803,2020,29306,20,14.0102999566398,2,4.01029995663981
804,2020,29349,1,1.0,1,1.0
805,2020,29405,6,8.78151250383644,3,5.77121254719662
806,2020,29420,1,1.0,1,1.0
807,2020,29607,26,15.1497334797082,8,10.0308998699194
808,2020,29615,19,13.7875360095283,1,1.0
809,2020,29621,5,7.98970004336019,2,4.01029995663981
810,2020,29634,25,14.9794000867204,1,1.0
811,2020,29645,3,5.77121254719662,1,1.0
812,2020,29650,6,8.78151250383644,2,4.01029995663981
813,2020,29651,18,13.5527250510331,3,5.77121254719662
814,2020,29708,5,7.98970004336019,1,1.0
815,2020,29715,31,15.9136169383427,1,1.0
816,2020,29728,1,1.0,1,1.0
817,2020,29729,11,11.4139268515823,2,4.01029995663981
818,2020,30004,140,22.4612803567824,4,7.02059991327962
819,2020,30005,2599,35.1480627950101,17,13.3044892137827
820,2020,30009,158,22.9865708695442,1,1.0
821,2020,30012,31,15.9136169383427,9,10.5424250943932
822,2020,30022,1026,31.111473607758,9,10.5424250943932
